,carat,cut,color,clarity,depth,table,price
445,0.76,Ideal,H,SI1,61.2,56,"$3,061 "
446,0.76,Ideal,G,VS2,61.5,56,"$3,751 "
447,0.75,Ideal,I,VS1,61.7,56,"$3,074 "
448,0.75,Ideal,E,VS1,61.7,57,"$4,337 "
449,0.74,Ideal,I,VS2,61.6,57,"$2,954 "
450,0.74,Ideal,G,VS2,61.6,57,"$3,560 "
451,0.73,Ideal,H,VS2,61.8,56,"$3,155 "
452,0.73,Ideal,F,VS1,61.4,56,"$4,659 "
453,0.73,Ideal,I,SI1,61,56,"$2,667 "
454,0.73,Ideal,H,VS2,61.3,57,"$3,294 "
455,0.73,Ideal,F,SI1,61.8,55,"$3,372 "
456,0.73,Ideal,F,VS2,61,57,"$3,863 "
457,0.72,Ideal,I,VS1,61.7,56,"$2,972 "
458,0.72,Ideal,J,VS2,61.7,57,"$2,418 "
459,0.72,Ideal,H,VS2,61.8,56,"$3,262 "
460,0.72,Ideal,G,VS2,61.4,56.3,"$3,988 "
461,0.72,Ideal,E,VS1,61.6,56.4,"$4,534 "
462,0.72,Ideal,F,SI1,61.7,56,"$3,326 "
463,0.72,Ideal,E,VVS2,61.6,56,"$4,267 "
464,0.72,Ideal,F,SI1,61.8,56,"$3,321 "
465,0.72,Ideal,G,VS2,61.9,56,"$3,553 "
466,0.72,Ideal,I,VS2,61.4,56,"$2,757 "
467,0.72,Ideal,H,SI1,61.8,56,"$2,931 "
468,0.71,Ideal,H,VS2,61.4,57,"$3,234 "
469,0.71,Ideal,F,SI1,61.6,56,"$3,307 "
470,0.71,Ideal,F,VVS1,61.2,56,"$4,282 "
471,0.71,Ideal,J,VS1,61.9,56,"$2,458 "
472,0.71,Ideal,H,VS1,61.9,57,"$3,375 "
473,0.71,Ideal,F,VS2,61.9,57,"$3,829 "
474,0.71,Ideal,I,VS1,61.9,56,"$2,903 "
475,0.71,Ideal,J,VS1,61,57,"$2,441 "
476,0.71,Ideal,I,VS2,61,56,"$2,633 "
477,0.71,Ideal,I,SI1,61.4,57,"$2,639 "
478,0.71,Ideal,H,VS2,61.5,57,"$3,077 "
479,0.71,Ideal,J,VS2,61.7,56,"$2,244 "
480,0.7,Ideal,G,SI1,61.9,57,"$3,056 "
481,0.7,Ideal,H,VS2,60.5,58,"$3,194 "
482,0.7,Ideal,I,VS2,61.8,56,"$2,810 "
483,0.7,Ideal,H,SI1,60.8,57,"$2,886 "
484,0.7,Ideal,G,SI1,61.7,57,"$3,016 "
485,0.7,Ideal,F,VS1,61.9,55,"$3,971 "
486,0.7,Ideal,F,VS1,61.9,56,"$3,966 "
487,0.7,Ideal,I,VS2,61.8,57,"$2,634 "
488,0.7,Ideal,I,VS2,61.4,57,"$2,798 "
489,0.7,Ideal,G,SI1,61.7,57,"$2,908 "
490,0.7,Ideal,G,VS1,60.9,57.3,"$4,130 "
491,0.7,Ideal,D,VS2,61,57.3,"$4,583 "
492,0.66,Ideal,I,SI1,61.5,57,"$2,075 "
493,0.66,Ideal,G,VS1,61.6,56,"$2,782 "
494,0.66,Ideal,D,VS2,61.5,56.1,"$3,641 "
495,0.65,Ideal,F,VS1,61.4,57,"$3,288 "
496,0.64,Ideal,F,VS1,61.4,55.8,"$3,237 "
497,0.64,Ideal,E,VS2,61.3,56.6,"$3,419 "
498,0.64,Ideal,E,VVS2,61.5,57.1,"$3,706 "
499,0.63,Ideal,F,VS2,61.7,56,"$2,712 "
500,0.62,Ideal,J,VS2,61.7,56,"$1,807 "
501,0.62,Ideal,G,SI1,61.8,56,"$2,239 "
502,0.62,Ideal,G,VS2,61.3,57,"$2,500 "
503,0.62,Ideal,H,SI1,61.9,55,"$2,229 "
504,0.62,Ideal,H,SI1,61.9,55,"$2,226 "
505,0.62,Ideal,H,VS2,61.5,54,"$2,295 "
506,0.62,Ideal,G,VS2,61,57,"$2,580 "
507,0.62,Ideal,F,VS1,61.5,56.1,"$3,136 "
508,0.62,Ideal,D,VVS2,61.2,57,"$3,213 "
509,0.62,Ideal,F,SI1,61.9,55,"$1,808 "
510,0.62,Ideal,G,VS1,61.8,56,"$2,675 "
511,0.62,Ideal,G,VS1,61.7,57,"$2,701 "
512,0.62,Ideal,D,VVS1,60.8,57,"$3,589 "
513,0.61,Ideal,J,SI1,61.8,56,"$1,695 "
514,0.61,Ideal,H,VS2,61.7,57,"$2,330 "
515,0.61,Ideal,F,VS1,61.7,56,"$2,754 "
516,0.61,Ideal,F,SI1,61.2,57,"$2,257 "
517,0.61,Ideal,F,VS2,61.5,55,"$2,590 "
518,0.61,Ideal,G,VS1,61.6,56,"$2,653 "
519,0.61,Ideal,F,VS1,61,57,"$2,793 "
520,0.61,Ideal,G,VS2,61.6,55.7,"$2,870 "
521,0.61,Ideal,G,VS1,61.1,55.9,"$3,030 "
522,0.61,Ideal,E,VS1,61.6,56.7,"$3,203 "
523,0.61,Ideal,D,VS2,61.3,56.3,"$3,349 "
524,0.61,Ideal,J,VS2,61.5,57,"$1,757 "
525,0.61,Ideal,I,VS2,61.9,57,"$1,937 "
526,0.61,Ideal,I,VS2,61.9,56,"$2,242 "
527,0.61,Ideal,I,VS1,61.7,56,"$2,102 "
528,0.61,Ideal,I,VS2,61.5,57,"$2,234 "
529,0.61,Ideal,E,VVS2,62,56,"$2,837 "
530,0.6,Ideal,I,VS2,61.6,57,"$2,025 "
531,0.6,Ideal,I,VS2,61.6,56,"$2,025 "
532,0.6,Ideal,F,VS2,61.3,57,"$2,575 "
533,0.6,Ideal,F,VVS2,61.9,57,"$2,683 "
534,0.6,Ideal,F,VS1,61.9,56,"$2,756 "
535,0.6,Ideal,E,VS1,60.8,57,"$2,894 "
536,0.6,Ideal,H,VS2,61.4,57,"$2,289 "
537,0.6,Ideal,G,VS1,61.3,56.6,"$2,883 "
538,0.6,Ideal,G,VS1,61,56.8,"$2,883 "
539,0.6,Ideal,G,VS1,61.4,55.7,"$2,883 "
540,0.6,Ideal,E,VS2,60.8,57.6,"$3,137 "
541,0.6,Ideal,E,VS2,61,56.8,"$3,137 "
542,0.6,Ideal,E,VS1,61.4,55.3,"$3,151 "
543,0.6,Ideal,D,VS2,61.3,55.7,"$3,294 "
544,0.6,Ideal,F,VVS2,61.7,56,"$2,610 "
545,0.59,Ideal,E,VS1,61,57.1,"$3,134 "
546,0.59,Ideal,D,VS1,61.4,56.7,"$3,357 "
547,0.58,Ideal,G,VS2,61.1,57,"$2,299 "
548,0.58,Ideal,H,VS2,61.9,56,"$1,841 "
549,0.58,Ideal,G,VS2,61.3,57,"$2,013 "
550,0.58,Ideal,I,SI1,61.9,56,"$1,704 "
551,0.58,Ideal,G,VS2,61.2,56,"$2,013 "
552,0.58,Ideal,H,SI1,61.8,56,"$1,949 "
553,0.58,Ideal,H,SI1,61.8,56,"$1,946 "
554,0.57,Ideal,G,VS2,61.2,56.9,"$2,595 "
555,0.57,Ideal,E,VVS2,61.9,56,"$2,626 "
556,0.56,Ideal,G,SI1,61.8,56,"$1,964 "
557,0.56,Ideal,H,VS2,61.4,57,"$2,045 "
558,0.56,Ideal,J,I1,62,55.7,$854 
559,0.56,Ideal,D,IF,61.9,56,"$3,776 "
560,0.56,Ideal,I,SI1,61.8,57,"$1,645 "
561,0.56,Ideal,D,IF,62,56,"$3,756 "
562,0.56,Ideal,I,VS1,60.9,57,"$1,840 "
563,0.55,Ideal,E,VVS2,62,55,"$2,553 "
564,0.55,Ideal,G,SI1,61.5,56,"$1,836 "
565,0.55,Ideal,F,SI1,61.1,57,"$1,916 "
566,0.55,Ideal,G,SI1,62,56,"$1,932 "
567,0.55,Ideal,I,VS2,61.7,57,"$1,762 "
568,0.55,Ideal,G,SI1,61.7,56,"$1,926 "
569,0.55,Ideal,I,SI1,61.7,56,"$1,610 "
570,0.55,Ideal,F,VS1,61.8,56,"$2,130 "
571,0.54,Ideal,H,SI1,61.5,57,"$1,835 "
572,0.54,Ideal,F,VS1,61.3,57,"$2,392 "
573,0.54,Ideal,E,VS1,61.5,56.8,"$2,868 "
574,0.54,Ideal,D,VS2,61.2,56.4,"$2,868 "
575,0.54,Ideal,D,VS1,61.3,57.5,"$3,073 "
576,0.54,Ideal,F,VS2,61.7,56,"$2,169 "
577,0.53,Ideal,H,VS2,61.9,56,"$1,940 "
578,0.53,Ideal,E,VVS1,61.9,56,"$2,612 "
579,0.53,Ideal,J,VS1,61.6,57,"$1,525 "
580,0.53,Ideal,J,VS2,62,56,"$1,447 "
581,0.53,Ideal,E,SI1,61.6,55.9,"$2,346 "
582,0.53,Ideal,E,SI1,61.2,57.1,"$2,346 "
583,0.53,Ideal,H,VS1,61.7,57,"$1,936 "
584,0.53,Ideal,F,VVS2,62,56,"$2,262 "
585,0.52,Ideal,I,VS2,61.8,56,"$1,662 "
586,0.52,Ideal,H,SI1,61.9,55,"$1,777 "
587,0.52,Ideal,H,VS2,61.8,55,"$1,892 "
588,0.52,Ideal,H,VS2,61.8,56,"$1,913 "
589,0.52,Ideal,J,VS1,61.8,56,"$1,488 "
590,0.52,Ideal,F,SI1,62,56,"$1,831 "
591,0.52,Ideal,H,VS1,61.8,56,"$2,026 "
592,0.52,Ideal,F,SI1,61.9,56,"$1,827 "
593,0.52,Ideal,G,SI1,61.8,56,"$1,824 "
594,0.52,Ideal,H,VS2,61.7,57,"$1,903 "
595,0.52,Ideal,G,SI1,61.5,57,"$1,820 "
596,0.52,Ideal,H,VS2,61.6,57,"$1,899 "
597,0.52,Ideal,J,SI1,61.9,56,"$1,362 "
598,0.52,Ideal,J,VS2,61.7,56,"$1,436 "
599,0.52,Ideal,F,SI1,61.9,56,"$1,706 "
600,0.52,Ideal,E,VS1,61.9,56,"$2,229 "
601,0.52,Ideal,G,VS1,61.5,55.5,"$2,499 "
602,0.52,Ideal,E,VS1,61.4,56.4,"$2,762 "
603,0.52,Ideal,H,SI1,62.1,55,"$1,753 "
604,0.52,Ideal,D,IF,61.9,56,"$3,492 "
605,0.52,Ideal,J,VS2,61.5,56,"$1,412 "
606,0.52,Ideal,J,VS1,61.9,56,"$1,468 "
607,0.52,Ideal,J,VS2,61.7,57,"$1,406 "
608,0.52,Ideal,I,VS2,61.8,56,"$1,649 "
609,0.52,Ideal,H,VS2,61.9,56,"$1,877 "
610,0.51,Ideal,F,VS2,61.8,56,"$2,076 "
611,0.51,Ideal,G,VS1,61.8,56,"$2,158 "
612,0.51,Ideal,F,VS1,61.5,57,"$2,189 "
613,0.51,Ideal,H,VS2,61.7,56,"$1,870 "
614,0.51,Ideal,H,VS2,61.3,57,"$1,870 "
615,0.51,Ideal,J,SI1,61.7,57,"$1,342 "
616,0.51,Ideal,G,VS1,61.3,56,"$2,124 "
617,0.51,Ideal,H,VS2,61.7,56,"$1,863 "
618,0.51,Ideal,J,VS2,61.6,57,"$1,392 "
619,0.51,Ideal,J,VS1,61.7,56,"$1,448 "
620,0.51,Ideal,H,SI1,60.9,56.7,"$1,479 "
621,0.51,Ideal,H,VS2,62,55,"$1,859 "
622,0.51,Ideal,E,VS1,61.3,56.6,"$2,709 "
623,0.51,Ideal,E,VS1,61.4,55.2,"$2,709 "
624,0.51,Ideal,J,VS2,61.7,55,"$1,387 "
625,0.51,Ideal,H,SI1,61.8,55,"$1,719 "
626,0.51,Ideal,G,SI1,62,56,"$1,775 "
627,0.51,Ideal,F,VVS2,61.6,56,"$1,892 "
628,0.51,Ideal,H,SI1,61.4,56,"$1,736 "
629,0.51,Ideal,H,VS2,61.8,56,"$1,848 "
630,0.51,Ideal,E,VS2,61.6,56,"$2,096 "
631,0.51,Ideal,H,SI1,61.8,56,"$1,713 "
632,0.51,Ideal,F,VVS2,61.8,56,"$2,130 "
633,0.5,Ideal,I,VS1,61.5,57,"$1,654 "
634,0.5,Ideal,H,VS1,61.7,57,"$1,952 "
635,0.5,Ideal,I,VS2,61.6,56,"$1,615 "
636,0.5,Ideal,F,SI1,61.8,57,"$1,838 "
637,0.5,Ideal,E,VS2,61.1,57,"$2,082 "
638,0.5,Ideal,H,VS2,61.5,57,"$1,834 "
639,0.5,Ideal,F,VS2,62,56,"$2,032 "
640,0.5,Ideal,E,SI2,60.2,57.5,"$1,401 "
641,0.5,Ideal,H,SI1,61.6,57,"$1,692 "
642,0.5,Ideal,E,VS2,61.6,56.7,"$2,529 "
643,0.5,Ideal,E,VS1,61.6,55.7,"$2,655 "
644,0.5,Ideal,E,VS1,61.5,56.2,"$2,655 "
645,0.5,Ideal,E,VS1,61.5,56,"$2,655 "
646,0.45,Ideal,I,VS1,61.4,56,"$1,079 "
647,0.45,Ideal,F,VS2,61.8,58,"$1,372 "
648,0.45,Ideal,E,VS2,61,57.3,"$1,718 "
649,0.45,Ideal,G,SI1,61.8,57,"$1,099 "
650,0.44,Ideal,E,VS2,61.4,56.6,"$1,610 "
651,0.44,Ideal,E,VS1,60.9,57.4,"$1,067 "
652,0.44,Ideal,G,SI1,61.8,57,"$1,076 "
653,0.43,Ideal,F,VS2,61.7,56,"$1,315 "
654,0.43,Ideal,E,VS2,61.6,56.7,"$1,574 "
655,0.43,Ideal,E,VS1,61.1,56.5,"$1,630 "
656,0.43,Ideal,E,VVS1,61.1,56.5,"$1,645 "
657,0.43,Ideal,D,VVS2,61.9,55,"$1,364 "
658,0.42,Ideal,F,SI1,61.8,55,"$1,097 "
659,0.42,Ideal,F,VS1,61,57,"$1,346 "
660,0.42,Ideal,H,VS2,61.9,56,"$1,191 "
661,0.42,Ideal,G,VS1,61.7,56,"$1,287 "
662,0.42,Ideal,D,SI1,61.4,56.5,"$1,427 "
663,0.42,Ideal,E,VS2,61.3,56.9,"$1,537 "
664,0.42,Ideal,E,VS2,61.4,56.5,"$1,537 "
665,0.42,Ideal,E,VS2,61.3,56.6,"$1,537 "
666,0.42,Ideal,D,VS1,61.6,56.3,"$1,557 "
667,0.42,Ideal,I,SI1,61.7,55,$981 
668,0.42,Ideal,I,VS1,61.9,55,"$1,079 "
669,0.42,Ideal,G,VS2,61.7,57,"$1,275 "
670,0.42,Ideal,F,VS1,61.4,57,"$1,324 "
671,0.42,Ideal,H,VS2,61.5,55,"$1,223 "
672,0.42,Ideal,G,VS2,61.9,56,"$1,272 "
673,0.42,Ideal,G,VS2,61.8,57,"$1,160 "
674,0.42,Ideal,F,VS2,61.5,57,"$1,268 "
675,0.42,Ideal,G,VS2,61.7,56,"$1,217 "
676,0.42,Ideal,F,VS1,61.7,56,"$1,314 "
677,0.41,Ideal,F,SI1,61.8,56,"$1,068 "
678,0.41,Ideal,I,VS1,61.8,56,"$1,068 "
679,0.41,Ideal,F,VS2,61.7,55,"$1,260 "
680,0.41,Ideal,G,SI1,61.5,57,"$1,012 "
681,0.41,Ideal,G,SI1,61.8,56,"$1,012 "
682,0.41,Ideal,I,VS1,61.6,56,"$1,061 "
683,0.41,Ideal,G,VS2,60.9,57,"$1,205 "
684,0.41,Ideal,H,VS2,61.6,57,"$1,154 "
685,0.41,Ideal,D,SI1,61.6,55.8,"$1,393 "
686,0.41,Ideal,D,VS2,61.2,56.2,"$1,422 "
687,0.41,Ideal,E,VVS1,61.8,56,"$1,447 "
688,0.41,Ideal,E,VS2,61.2,57.4,"$1,500 "
689,0.41,Ideal,F,VS2,61,57.1,"$1,573 "
690,0.41,Ideal,J,SI1,61.8,56,$812 
691,0.41,Ideal,J,VS2,61.8,56,$858 
692,0.41,Ideal,H,VS2,61.4,56,"$1,143 "
693,0.41,Ideal,H,VS2,61.6,55,"$1,191 "
694,0.41,Ideal,F,VS1,61.4,56,"$1,247 "
695,0.4,Ideal,F,SI1,61.8,57,"$1,045 "
696,0.4,Ideal,F,VS2,61.7,56,"$1,235 "
697,0.4,Ideal,G,VS2,61.8,57,"$1,185 "
698,0.4,Ideal,F,VS2,61.8,56,"$1,232 "
699,0.4,Ideal,F,VVS1,61.7,56,"$1,340 "
700,0.4,Ideal,J,VS2,61.9,56,$851 
701,0.4,Ideal,I,VS2,61.2,57,$991 
702,0.4,Ideal,I,VS1,61.9,56,"$1,037 "
703,0.4,Ideal,G,VS1,61.2,57,"$1,321 "
704,0.4,Ideal,I,SI1,61.5,57,$941 
705,0.4,Ideal,F,VS2,61.1,57,"$1,223 "
706,0.4,Ideal,E,SI2,-,-,"$1,100 "
707,0.4,Ideal,D,SI1,61,57.6,"$1,359 "
708,0.4,Ideal,G,VS1,61.2,56.7,"$1,411 "
709,0.4,Ideal,F,VS1,61.3,57.2,"$1,464 "
710,0.4,Ideal,E,VVS1,61,57.2,"$1,530 "
711,0.4,Ideal,F,VVS1,61.1,57.1,"$1,621 "
712,0.36,Ideal,I,VS2,61.5,56,$752 
713,0.35,Ideal,J,SI1,61.9,55,$638 
714,0.34,Ideal,J,VS1,61.8,56,$720 
715,0.33,Ideal,F,VS1,61.8,56,$949 
716,0.33,Ideal,D,VVS1,61.8,56,"$1,092 "
717,0.33,Ideal,D,VVS1,61.7,57,"$1,092 "
718,0.33,Ideal,F,VS1,61.3,56,$828 
719,0.33,Ideal,E,VS1,61.8,56,$989 
720,0.33,Ideal,D,VVS1,61.7,57,"$1,092 "
721,0.32,Ideal,I,SI1,61.6,56,$640 
722,0.32,Ideal,F,SI1,61.6,56,$728 
723,0.32,Ideal,E,VS1,61.4,57,$969 
724,0.32,Ideal,D,VS1,61,57,$996 
725,0.32,Ideal,F,VS2,61.7,57,$947 
726,0.32,Ideal,H,SI1,61.9,56,$703 
727,0.32,Ideal,I,SI1,61.4,56,$636 
728,0.32,Ideal,F,VS2,61.8,56,$933 
729,0.32,Ideal,F,VS2,61.4,56,$927 
730,0.31,Ideal,F,VS2,61.6,57,$921 
731,0.31,Ideal,J,VS2,61.7,55,$558 
732,0.31,Ideal,I,VS2,61.7,55,$635 
733,0.31,Ideal,D,VVS1,61.7,56,$967 
734,0.31,Ideal,I,SI1,61.5,56,$633 
735,0.31,Ideal,F,VS2,61.8,55,$915 
736,0.31,Ideal,J,VS1,61.6,56,$601 
737,0.31,Ideal,J,VS1,61.2,56,$678 
738,0.31,Ideal,D,SI1,-,-,$810 
739,0.31,Ideal,J,SI1,60.7,55,$518 
740,0.31,Ideal,I,SI1,61.8,56,$624 
741,0.31,Ideal,J,VS2,61.5,56,$594 
742,0.31,Ideal,H,SI1,61.8,57,$679 
743,0.31,Ideal,E,VS1,61.5,57,$939 
744,0.3,Ideal,J,VS1,61.4,55,$618 
745,0.3,Ideal,F,VS1,61.6,55,$928 
746,0.3,Ideal,J,SI1,62,55,$511 
747,0.3,Ideal,E,VS1,61.6,57,$795 
748,0.3,Ideal,J,VS2,61,56,$548 
749,0.3,Ideal,J,VS2,61.1,57,$584 
750,0.3,Ideal,J,SI1,61.2,57,$547 
751,0.3,Ideal,I,VS2,60.8,57,$634 
752,3.85,Excellent,G,VS2,61.7,56,"$68,999 "
753,2.05,Excellent,G,VS2,62.6,56,"$21,825 "
754,2.04,Excellent,H,VS2,61,57,"$21,292 "
755,2.01,Excellent,I,VS2,59.8,61,"$16,594 "
756,1.91,Excellent,I,SI1,61.8,57,"$14,333 "
757,1.77,Excellent,E,VS2,61,55,"$23,548 "
758,1.7,Excellent,I,SI1,62.5,54,"$11,500 "
759,1.7,Excellent,G,SI1,60.6,60,"$12,077 "
760,1.61,Excellent,I,VS2,62.3,56,"$11,325 "
761,1.55,Excellent,G,VS1,62,57,"$15,108 "
762,1.54,Excellent,F,VS1,61.1,57,"$18,018 "
763,1.4,Excellent,H,VS2,61.7,56,"$10,544 "
764,1.39,Excellent,F,SI2,61.6,56,"$7,803 "
765,1.36,Excellent,G,SI2,60.5,58,"$8,700 "
766,1.34,Excellent,F,VS1,60.7,57,"$13,909 "
767,1.32,Excellent,G,VS2,61.6,57,"$11,075 "
768,1.28,Excellent,D,VVS1,61.8,56,"$21,144 "
769,1.27,Excellent,D,VVS1,62.4,56,"$17,001 "
770,1.26,Excellent,H,VS2,61.6,58,"$8,900 "
771,1.21,Excellent,F,SI1,62,56,"$8,514 "
772,1.21,Excellent,F,VS2,62.4,56,"$9,965 "
773,1.21,Excellent,G,VS2,61.3,57,"$9,981 "
774,1.14,Excellent,I,SI1,61.7,56,"$6,281 "
775,1.14,Excellent,G,SI1,61.8,56,"$7,799 "
776,1.09,Excellent,G,VS2,61.8,55,"$7,756 "
777,1.06,Excellent,H,VS2,60.5,59,"$6,936 "
778,1.06,Excellent,E,VVS1,62.1,56,"$15,108 "
779,1.05,Excellent,E,IF,61.6,55,"$16,680 "
780,1.04,Excellent,I,VS2,61.5,57,"$6,204 "
781,1.04,Excellent,H,VS2,61.2,57,"$6,786 "
782,1.04,Excellent,F,VS1,61.9,56,"$9,191 "
783,1.01,Excellent,I,VS2,60.9,57,"$5,294 "
784,1.01,Excellent,F,SI1,61.6,57,"$7,197 "
785,1.01,Excellent,H,VS2,61,58,"$7,326 "
786,1.01,Excellent,G,VS2,61.7,56,"$7,465 "
787,1.01,Excellent,F,VS1,62.1,57,"$9,523 "
788,0.84,Excellent,G,VS2,61.6,57,"$4,070 "
789,0.81,Excellent,F,VS1,61.7,56,"$5,070 "
790,0.8,Excellent,I,VS2,60.1,61,"$2,744 "
791,0.76,Excellent,J,SI1,61.8,58,"$1,988 "
792,0.72,Excellent,F,VVS2,61.8,56,"$4,705 "
793,0.71,Excellent,J,VVS1,62,56,"$2,709 "
794,0.71,Excellent,F,SI1,62.4,56,"$3,112 "
795,0.71,Excellent,F,VS1,61.4,56,"$4,113 "
796,0.7,Excellent,E,SI1,61.7,56,"$3,562 "
797,0.7,Excellent,D,VS2,61.5,56,"$4,149 "
798,0.64,Excellent,F,VS2,60.4,58,"$2,033 "
799,0.62,Excellent,E,SI1,62.3,57,"$2,246 "
800,0.61,Excellent,F,VS2,61.4,55,"$2,575 "
801,0.61,Excellent,F,VS1,61.9,55,"$3,272 "
802,0.6,Excellent,E,SI1,61.8,56,"$2,213 "
803,0.6,Excellent,E,SI1,61.9,55,"$2,262 "
804,0.6,Excellent,I,VS1,61.6,56,"$2,397 "
805,0.56,Excellent,G,VS2,62.4,56,"$1,934 "
806,0.56,Excellent,F,VVS2,60.9,56,"$2,577 "
807,0.55,Excellent,J,VS1,62.2,56,"$1,501 "
808,0.55,Excellent,J,VS1,62.1,55,"$1,602 "
809,0.54,Excellent,I,VVS2,61.9,55,"$1,668 "
810,0.54,Excellent,H,SI1,61.5,57,"$1,749 "
811,0.54,Excellent,H,VVS2,61.5,55,"$1,961 "
812,0.54,Excellent,G,VS1,61.6,56,"$1,991 "
813,0.54,Excellent,G,VS2,61.9,57,"$1,993 "
814,0.53,Excellent,I,VVS2,62,56,"$1,724 "
815,0.53,Excellent,H,SI1,62.2,55,"$1,728 "
816,0.53,Excellent,H,SI1,61.9,55,"$1,728 "
817,0.53,Excellent,G,SI1,62,55,"$1,751 "
818,0.53,Excellent,H,VVS1,61.8,56,"$1,891 "
819,0.53,Excellent,H,VVS2,60.9,57,"$1,938 "
820,0.53,Excellent,G,VS2,61.9,56,"$1,993 "
821,0.53,Excellent,G,VVS2,61.7,55,"$2,304 "
822,0.53,Excellent,G,VVS1,61.8,56,"$2,343 "
823,0.52,Excellent,J,VS1,61.5,57,"$1,555 "
824,0.52,Excellent,J,VS1,62.1,56,"$1,555 "
825,0.52,Excellent,I,VS1,62.1,55,"$1,659 "
826,0.52,Excellent,I,VVS2,61.8,55,"$1,667 "
827,0.52,Excellent,H,VS1,62.1,56,"$1,834 "
828,0.52,Excellent,E,VVS2,61.9,56,"$3,227 "
829,0.51,Excellent,I,SI1,61.5,55,"$1,486 "
830,0.51,Excellent,J,VVS1,62,56,"$1,571 "
831,0.51,Excellent,I,VS1,61.7,55,"$1,664 "
832,0.51,Excellent,G,SI1,61.9,55,"$1,695 "
833,0.51,Excellent,H,VS2,61.9,56,"$1,790 "
834,0.51,Excellent,H,VS2,61.9,55,"$1,805 "
835,0.51,Excellent,F,SI2,61.1,58,"$1,885 "
836,0.51,Excellent,G,VS1,62,56,"$1,940 "
837,0.51,Excellent,G,VS1,61.5,56,"$1,940 "
838,0.51,Excellent,G,VS1,61.7,58,"$1,940 "
839,0.51,Excellent,E,VS2,62.1,55,"$2,055 "
840,0.51,Excellent,F,VS2,61.7,57,"$2,074 "
841,0.51,Excellent,G,VVS2,61.9,56,"$2,109 "
842,0.51,Excellent,E,VS2,62.4,55,"$2,641 "
843,0.51,Excellent,E,VS1,62.2,55,"$2,827 "
844,0.51,Excellent,D,VVS2,62.1,55,"$3,446 "
845,0.5,Excellent,I,VS1,61.2,57,"$1,671 "
846,0.5,Excellent,I,VVS1,61.9,56,"$1,780 "
847,0.5,Excellent,H,VVS1,61.9,57,"$1,848 "
848,0.5,Excellent,F,VS1,62.3,55,"$2,182 "
849,0.45,Excellent,E,VVS1,61.7,58,"$2,044 "
850,0.45,Excellent,E,VVS1,61.8,57,"$2,044 "
851,0.42,Excellent,I,VS1,61.9,55,"$1,070 "
852,0.42,Excellent,G,VS2,61.9,54,"$1,213 "
853,0.42,Excellent,G,VS2,61.6,55,"$1,213 "
854,0.42,Excellent,I,VS1,62.1,55,"$1,260 "
855,0.41,Excellent,G,VS1,61.4,56,"$1,189 "
856,0.41,Excellent,F,VS1,62.3,55,"$1,298 "
857,0.41,Excellent,G,VVS2,62.3,56,"$1,302 "
858,0.41,Excellent,G,VVS1,61.6,57,"$1,395 "
859,0.4,Excellent,J,VS1,61.6,58,$920 
860,0.4,Excellent,G,VS2,61.1,57,"$1,136 "
861,0.4,Excellent,E,VS2,61.7,57,"$1,223 "
862,0.4,Excellent,D,VS1,62.3,55,"$1,396 "
863,0.4,Excellent,D,VS2,61.4,56,"$1,561 "
864,0.36,Excellent,G,VVS1,61.7,56,"$1,052 "
865,0.35,Excellent,I,VVS1,62.4,55,$800 
866,0.35,Excellent,G,VVS2,62,55,$914 
867,0.35,Excellent,D,VS1,62.1,56,"$1,089 "
868,0.34,Excellent,H,SI1,62.1,55,$673 
869,0.34,Excellent,J,VVS1,61.2,56,$726 
870,0.34,Excellent,I,VS1,60.1,57,$741 
871,0.34,Excellent,E,SI2,61.5,56,$751 
872,0.34,Excellent,J,VVS1,60.7,58,$753 
873,0.34,Excellent,G,VS2,60.2,57,$798 
874,0.34,Excellent,F,VS1,61.7,55,$872 
875,0.34,Excellent,G,VS1,61.4,56,$878 
876,0.34,Excellent,E,VS1,62.3,55,$899 
877,0.34,Excellent,D,SI1,62.1,56,$916 
878,0.34,Excellent,E,VS1,62.1,54,$944 
879,0.34,Excellent,D,VS2,61.3,56,$953 
880,0.34,Excellent,D,VS1,62,55,"$1,023 "
881,0.33,Excellent,I,VS2,62.1,56,$654 
882,0.33,Excellent,J,VVS1,62.1,55,$731 
883,0.33,Excellent,F,VS2,61.5,56,$823 
884,0.33,Excellent,H,VVS1,62,55,$828 
885,0.33,Excellent,G,VVS2,61.5,56,$862 
886,0.33,Excellent,F,VS1,62.4,56,$878 
887,0.33,Excellent,D,VS1,62.1,55,$993 
888,0.32,Excellent,H,SI1,62.1,55,$640 
889,0.32,Excellent,F,SI1,62.3,56,$704 
890,0.32,Excellent,H,VS2,61.9,55,$725 
891,0.32,Excellent,H,VS1,62.1,55,$758 
892,0.32,Excellent,H,VS1,61.6,56,$758 
893,0.32,Excellent,D,SI2,62.3,56,$760 
894,0.32,Excellent,G,VS1,62.2,56,$776 
895,0.32,Excellent,H,VVS1,61.1,56,$805 
896,0.32,Excellent,G,VS1,61.8,56,$813 
897,0.32,Excellent,F,VS1,61.7,55,$843 
898,0.32,Excellent,E,VS1,62.1,57,$865 
899,0.32,Excellent,D,VS1,61.8,55,$984 
900,0.31,Excellent,J,VVS2,61.7,56,$647 
901,0.31,Excellent,H,SI1,62,55,$648 
902,0.31,Excellent,F,VS2,61.7,57,$702 
903,0.31,Excellent,G,VS1,61,56,$720 
